***** Observation. ORDER 1 *****
84,85 -> 75 : 1
84,85 -> 84 : 2
84,85 -> 95 : 2
84,85 -> 86 : 1
75,85 -> 86 : 2
75,85 -> 84 : 3
75,85 -> 75 : 2
75,85 -> 95 : 3
86,76 -> 66 : 3
86,76 -> 75 : 2
86,76 -> 77 : 1
86,76 -> 86 : 1
66,76 -> 66 : 5
66,76 -> 86 : 3
66,76 -> 75 : 4
66,76 -> 77 : 1
66,67 -> 66 : 2
66,67 -> 77 : 2
66,67 -> 68 : 1
19,10 -> 19 : 4
19,10 -> 0 : 2
19,10 -> 11 : 1
19,10 -> 20 : 5
9,19 -> 29 : 1
9,19 -> 18 : 2
9,19 -> 10 : 3
18,28 -> 27 : 4
18,28 -> 38 : 1
18,28 -> 29 : 4
19,18 -> 28 : 1
19,18 -> 19 : 1
19,18 -> 8 : 1
27,26 -> 36 : 2
27,26 -> 16 : 2
27,26 -> 25 : 1
15,16 -> 17 : 6
15,16 -> 26 : 1
15,16 -> 6 : 4
15,16 -> 15 : 1
17,27 -> 28 : 3
17,27 -> 37 : 1
17,27 -> 26 : 1
28,27 -> 26 : 3
28,27 -> 28 : 5
28,27 -> 37 : 1
28,27 -> 17 : 1
26,27 -> 28 : 1
26,27 -> 17 : 2
26,27 -> 37 : 1
27,28 -> 27 : 4
27,28 -> 38 : 2
27,28 -> 29 : 2
27,28 -> 18 : 3
16,15 -> 25 : 5
16,15 -> 16 : 1
16,15 -> 14 : 2
16,15 -> 5 : 1
14,15 -> 5 : 4
14,15 -> 25 : 1
14,15 -> 14 : 1
14,15 -> 16 : 3
5,15 -> 16 : 2
5,15 -> 5 : 1
5,15 -> 25 : 1
15,25 -> 26 : 4
15,25 -> 15 : 2
15,25 -> 35 : 1
15,25 -> 24 : 2
35,25 -> 24 : 3
35,25 -> 26 : 1
35,25 -> 15 : 3
35,25 -> 35 : 2
25,24 -> 14 : 3
25,24 -> 34 : 4
25,24 -> 23 : 1
23,24 -> 23 : 2
23,24 -> 25 : 3
23,24 -> 34 : 4
23,24 -> 14 : 1
8,18 -> 17 : 3
8,18 -> 19 : 2
8,18 -> 28 : 5
8,18 -> 8 : 1
49,48 -> 47 : 6
49,48 -> 58 : 4
49,48 -> 49 : 2
48,49 -> 59 : 4
48,49 -> 48 : 1
48,49 -> 40 : 4
48,49 -> 39 : 5
69,59 -> 58 : 7
69,59 -> 69 : 4
69,59 -> 49 : 4
69,59 -> 50 : 3
48,47 -> 37 : 5
48,47 -> 48 : 6
48,47 -> 57 : 5
48,47 -> 46 : 3
49,40 -> 50 : 3
49,40 -> 30 : 3
49,40 -> 41 : 4
49,40 -> 49 : 2
40,50 -> 51 : 2
40,50 -> 59 : 3
40,50 -> 40 : 1
13,12 -> 22 : 2
13,12 -> 11 : 2
13,12 -> 2 : 4
13,12 -> 13 : 3
12,13 -> 12 : 3
12,13 -> 14 : 3
12,13 -> 3 : 2
23,13 -> 23 : 1
23,13 -> 3 : 3
23,13 -> 14 : 2
23,13 -> 12 : 1
13,23 -> 24 : 2
13,23 -> 33 : 2
50,60 -> 61 : 3
50,60 -> 70 : 3
50,60 -> 50 : 1
29,20 -> 21 : 4
29,20 -> 30 : 1
29,20 -> 29 : 4
29,20 -> 10 : 1
20,29 -> 19 : 3
20,29 -> 20 : 3
20,29 -> 28 : 2
20,29 -> 39 : 1
0,1 -> 2 : 4
0,1 -> 11 : 10
91,1 -> 2 : 7
91,1 -> 0 : 7
91,1 -> 91 : 2
91,1 -> 11 : 2
1,2 -> 12 : 4
1,2 -> 3 : 6
1,2 -> 1 : 4
1,2 -> 92 : 2
22,12 -> 13 : 5
22,12 -> 2 : 1
22,12 -> 22 : 1
22,12 -> 11 : 1
1,91 -> 90 : 2
1,91 -> 92 : 2
1,91 -> 1 : 1
90,91 -> 1 : 9
90,91 -> 92 : 3
22,21 -> 22 : 2
22,21 -> 11 : 4
22,21 -> 31 : 3
21,22 -> 21 : 2
21,22 -> 12 : 3
21,22 -> 23 : 2
21,22 -> 32 : 4
5,95 -> 94 : 4
5,95 -> 5 : 3
5,95 -> 96 : 3
5,95 -> 85 : 5
94,95 -> 85 : 3
94,95 -> 94 : 4
94,95 -> 5 : 3
94,95 -> 96 : 1
85,95 -> 85 : 4
85,95 -> 94 : 5
85,95 -> 5 : 4
95,94 -> 84 : 4
95,94 -> 4 : 3
95,94 -> 93 : 6
95,94 -> 95 : 4
84,94 -> 93 : 3
84,94 -> 4 : 3
84,94 -> 95 : 4
93,94 -> 95 : 4
93,94 -> 93 : 2
93,94 -> 4 : 5
93,94 -> 84 : 1
94,84 -> 94 : 2
94,84 -> 83 : 3
94,84 -> 74 : 1
85,84 -> 94 : 3
85,84 -> 83 : 2
85,84 -> 85 : 1
95,85 -> 95 : 8
95,85 -> 86 : 2
95,85 -> 75 : 4
95,85 -> 84 : 1
87,77 -> 76 : 4
87,77 -> 67 : 3
87,77 -> 78 : 3
87,77 -> 87 : 4
57,67 -> 57 : 5
57,67 -> 68 : 3
57,67 -> 77 : 3
67,57 -> 67 : 4
67,57 -> 58 : 2
67,57 -> 56 : 4
67,57 -> 47 : 3
58,57 -> 56 : 1
58,57 -> 58 : 3
58,57 -> 47 : 2
65,64 -> 74 : 3
65,64 -> 63 : 4
65,64 -> 54 : 2
65,64 -> 65 : 3
74,64 -> 54 : 4
74,64 -> 74 : 2
74,64 -> 63 : 2
74,64 -> 65 : 2
64,74 -> 75 : 4
64,74 -> 84 : 6
64,74 -> 64 : 3
64,74 -> 73 : 3
75,74 -> 64 : 3
75,74 -> 75 : 1
75,74 -> 73 : 2
75,74 -> 84 : 2
73,74 -> 75 : 2
73,74 -> 84 : 2
73,74 -> 64 : 2
73,74 -> 73 : 2
74,75 -> 74 : 2
74,75 -> 85 : 1
74,75 -> 76 : 3
52,51 -> 50 : 1
52,51 -> 41 : 2
52,51 -> 61 : 1
52,51 -> 52 : 2
72,62 -> 72 : 1
72,62 -> 63 : 1
72,62 -> 61 : 4
72,62 -> 52 : 2
90,80 -> 81 : 4
90,80 -> 90 : 1
80,90 -> 80 : 1
80,90 -> 99 : 2
80,90 -> 0 : 4
80,90 -> 91 : 1
91,90 -> 91 : 1
91,90 -> 99 : 2
91,90 -> 0 : 1
91,90 -> 80 : 1
10,0 -> 1 : 4
10,0 -> 90 : 1
10,0 -> 9 : 3
10,0 -> 10 : 1
32,31 -> 21 : 2
32,31 -> 32 : 3
32,31 -> 41 : 2
32,31 -> 30 : 2
61,71 -> 61 : 5
61,71 -> 70 : 4
61,71 -> 72 : 4
61,71 -> 81 : 2
70,71 -> 72 : 3
70,71 -> 81 : 7
84,74 -> 84 : 3
84,74 -> 73 : 1
84,74 -> 64 : 1
74,84 -> 74 : 2
74,84 -> 83 : 4
74,84 -> 94 : 3
74,84 -> 85 : 1
84,83 -> 82 : 4
84,83 -> 93 : 5
84,83 -> 84 : 2
84,83 -> 73 : 2
82,72 -> 71 : 5
82,72 -> 73 : 1
82,72 -> 62 : 2
82,72 -> 82 : 1
94,93 -> 94 : 6
94,93 -> 92 : 4
94,93 -> 83 : 2
90,99 -> 89 : 2
90,99 -> 90 : 3
90,99 -> 98 : 1
8,98 -> 99 : 2
8,98 -> 8 : 2
8,98 -> 97 : 1
8,98 -> 88 : 1
99,98 -> 99 : 3
99,98 -> 97 : 1
99,98 -> 8 : 2
97,98 -> 88 : 2
97,98 -> 97 : 2
97,98 -> 8 : 1
88,98 -> 97 : 2
88,98 -> 8 : 3
88,98 -> 99 : 2
88,98 -> 88 : 1
98,97 -> 98 : 2
98,97 -> 96 : 3
98,97 -> 7 : 2
71,70 -> 79 : 4
71,70 -> 60 : 4
71,70 -> 71 : 3
71,70 -> 80 : 3
73,72 -> 71 : 6
73,72 -> 73 : 3
73,72 -> 62 : 2
72,73 -> 72 : 4
72,73 -> 63 : 2
72,73 -> 83 : 2
73,63 -> 53 : 2
73,63 -> 73 : 3
73,63 -> 64 : 1
62,63 -> 64 : 4
62,63 -> 53 : 4
62,63 -> 62 : 1
63,53 -> 54 : 3
63,53 -> 43 : 4
63,53 -> 52 : 3
63,53 -> 63 : 1
41,40 -> 30 : 2
41,40 -> 49 : 2
41,40 -> 41 : 3
3,13 -> 23 : 4
3,13 -> 3 : 2
3,13 -> 14 : 2
3,13 -> 12 : 5
14,24 -> 14 : 1
14,24 -> 23 : 3
14,24 -> 34 : 2
24,14 -> 24 : 2
24,14 -> 15 : 1
24,14 -> 13 : 1
17,16 -> 26 : 2
17,16 -> 6 : 3
17,16 -> 15 : 4
17,16 -> 17 : 1
85,75 -> 74 : 4
85,75 -> 65 : 4
85,75 -> 76 : 1
99,90 -> 91 : 3
99,90 -> 0 : 2
99,90 -> 99 : 1
99,90 -> 80 : 1
40,49 -> 48 : 3
40,49 -> 40 : 2
40,49 -> 39 : 2
40,49 -> 59 : 1
60,70 -> 79 : 3
60,70 -> 80 : 2
60,70 -> 71 : 3
60,70 -> 60 : 2
68,69 -> 68 : 3
68,69 -> 59 : 3
68,69 -> 60 : 3
68,69 -> 79 : 1
48,38 -> 39 : 2
48,38 -> 28 : 1
48,38 -> 48 : 1
48,38 -> 37 : 1
39,38 -> 37 : 7
39,38 -> 39 : 4
39,38 -> 48 : 4
29,39 -> 38 : 5
29,39 -> 29 : 3
29,39 -> 49 : 2
29,39 -> 30 : 2
28,29 -> 39 : 4
28,29 -> 28 : 2
28,29 -> 19 : 2
28,29 -> 20 : 1
39,29 -> 20 : 5
39,29 -> 39 : 1
39,29 -> 19 : 1
39,29 -> 28 : 1
37,27 -> 28 : 2
37,27 -> 37 : 1
37,27 -> 17 : 1
31,32 -> 31 : 4
31,32 -> 42 : 3
31,32 -> 33 : 3
31,32 -> 22 : 2
54,64 -> 74 : 3
54,64 -> 65 : 2
54,64 -> 54 : 3
54,64 -> 63 : 1
94,4 -> 5 : 5
94,4 -> 14 : 2
94,4 -> 3 : 3
94,4 -> 94 : 2
5,4 -> 14 : 4
5,4 -> 5 : 1
5,4 -> 94 : 1
5,4 -> 3 : 6
14,4 -> 14 : 1
14,4 -> 94 : 2
14,4 -> 3 : 2
14,4 -> 5 : 1
3,4 -> 14 : 4
3,4 -> 5 : 1
3,4 -> 94 : 4
3,4 -> 3 : 1
4,14 -> 4 : 2
4,14 -> 24 : 2
4,14 -> 13 : 3
4,14 -> 15 : 1
14,13 -> 3 : 3
14,13 -> 14 : 1
13,3 -> 93 : 3
13,3 -> 4 : 3
13,3 -> 2 : 1
13,3 -> 13 : 1
15,5 -> 6 : 3
15,5 -> 4 : 4
15,5 -> 95 : 3
6,5 -> 95 : 1
6,5 -> 6 : 1
6,5 -> 4 : 2
6,5 -> 15 : 1
95,5 -> 95 : 8
95,5 -> 6 : 3
95,5 -> 4 : 1
96,6 -> 5 : 2
96,6 -> 16 : 2
95,96 -> 6 : 2
95,96 -> 95 : 3
95,96 -> 86 : 2
95,96 -> 97 : 1
6,96 -> 86 : 3
6,96 -> 95 : 2
6,96 -> 6 : 2
6,96 -> 97 : 3
86,96 -> 97 : 4
86,96 -> 95 : 2
86,96 -> 6 : 1
86,96 -> 86 : 2
97,96 -> 86 : 1
97,96 -> 95 : 2
96,97 -> 87 : 1
96,97 -> 7 : 2
96,97 -> 98 : 1
87,97 -> 98 : 2
87,97 -> 7 : 1
87,97 -> 87 : 1
7,97 -> 96 : 1
7,97 -> 98 : 1
7,97 -> 87 : 2
97,87 -> 88 : 2
97,87 -> 77 : 2
97,87 -> 97 : 1
97,87 -> 86 : 1
88,87 -> 77 : 3
88,87 -> 97 : 2
88,87 -> 86 : 1
87,88 -> 87 : 1
87,88 -> 89 : 2
87,88 -> 78 : 1
87,88 -> 98 : 2
78,88 -> 89 : 2
78,88 -> 87 : 1
78,88 -> 98 : 1
89,88 -> 87 : 3
89,88 -> 98 : 1
98,88 -> 98 : 2
98,88 -> 87 : 1
98,8 -> 98 : 2
98,8 -> 7 : 2
98,8 -> 18 : 2
98,8 -> 9 : 1
7,8 -> 7 : 2
7,8 -> 18 : 3
7,8 -> 9 : 3
8,7 -> 8 : 2
8,7 -> 97 : 2
8,7 -> 6 : 1
8,7 -> 17 : 2
75,76 -> 86 : 3
75,76 -> 77 : 1
75,76 -> 75 : 3
75,76 -> 66 : 1
65,66 -> 65 : 3
65,66 -> 56 : 4
65,66 -> 76 : 2
47,57 -> 58 : 2
47,57 -> 56 : 3
47,57 -> 67 : 4
47,57 -> 47 : 2
65,55 -> 54 : 7
65,55 -> 65 : 4
65,55 -> 45 : 2
65,55 -> 56 : 3
55,65 -> 66 : 4
55,65 -> 64 : 3
55,65 -> 55 : 4
55,65 -> 75 : 4
66,65 -> 55 : 5
66,65 -> 66 : 3
66,65 -> 75 : 1
66,65 -> 64 : 1
59,49 -> 59 : 2
59,49 -> 40 : 4
59,49 -> 39 : 3
59,49 -> 48 : 1
38,28 -> 29 : 1
38,28 -> 18 : 1
38,28 -> 38 : 3
38,28 -> 27 : 1
9,8 -> 98 : 3
9,8 -> 9 : 3
9,8 -> 7 : 2
9,8 -> 18 : 2
33,34 -> 24 : 2
33,34 -> 33 : 1
33,34 -> 35 : 7
33,34 -> 44 : 2
97,7 -> 6 : 2
97,7 -> 8 : 3
97,7 -> 17 : 1
16,6 -> 96 : 2
16,6 -> 16 : 1
16,6 -> 7 : 2
16,6 -> 5 : 1
96,95 -> 96 : 3
96,95 -> 85 : 3
96,95 -> 94 : 2
96,95 -> 5 : 3
4,5 -> 95 : 2
4,5 -> 15 : 2
4,5 -> 4 : 1
4,94 -> 93 : 4
4,94 -> 84 : 2
4,94 -> 95 : 2
4,94 -> 4 : 1
92,91 -> 1 : 3
92,91 -> 92 : 3
92,91 -> 81 : 2
21,20 -> 10 : 1
21,20 -> 21 : 2
21,20 -> 30 : 1
21,20 -> 29 : 3
64,63 -> 62 : 1
64,63 -> 53 : 3
64,63 -> 64 : 4
64,63 -> 73 : 1
53,63 -> 64 : 5
53,63 -> 62 : 2
63,64 -> 63 : 3
63,64 -> 74 : 4
63,64 -> 54 : 2
63,64 -> 65 : 3
86,85 -> 84 : 1
86,85 -> 86 : 1
86,85 -> 75 : 3
92,93 -> 3 : 3
92,93 -> 92 : 3
92,93 -> 83 : 4
92,93 -> 94 : 1
72,82 -> 81 : 1
72,82 -> 72 : 1
72,82 -> 92 : 2
72,82 -> 83 : 1
81,82 -> 92 : 2
81,82 -> 72 : 6
81,82 -> 81 : 7
81,82 -> 83 : 1
82,81 -> 82 : 10
82,81 -> 80 : 5
82,81 -> 91 : 5
82,81 -> 71 : 4
82,92 -> 82 : 1
82,92 -> 93 : 2
82,92 -> 2 : 1
82,92 -> 91 : 1
81,80 -> 89 : 1
81,80 -> 90 : 2
81,80 -> 70 : 1
12,11 -> 10 : 4
12,11 -> 1 : 3
12,11 -> 21 : 1
27,37 -> 38 : 1
27,37 -> 47 : 1
13,14 -> 4 : 3
13,14 -> 15 : 4
13,14 -> 24 : 1
77,76 -> 66 : 4
77,76 -> 75 : 1
77,76 -> 77 : 4
75,65 -> 55 : 4
75,65 -> 75 : 1
75,65 -> 64 : 2
75,65 -> 66 : 1
64,65 -> 64 : 3
64,65 -> 55 : 3
64,65 -> 75 : 1
64,65 -> 66 : 2
64,54 -> 44 : 3
64,54 -> 64 : 2
64,54 -> 53 : 3
64,54 -> 55 : 2
91,81 -> 82 : 2
91,81 -> 71 : 4
11,12 -> 2 : 1
11,12 -> 13 : 2
11,12 -> 22 : 3
11,12 -> 11 : 1
91,92 -> 2 : 3
91,92 -> 82 : 2
91,92 -> 93 : 3
83,84 -> 85 : 3
83,84 -> 83 : 3
83,84 -> 94 : 2
83,84 -> 74 : 1
2,3 -> 93 : 4
2,3 -> 13 : 3
2,3 -> 4 : 3
80,89 -> 99 : 2
80,89 -> 80 : 1
80,89 -> 79 : 1
25,15 -> 25 : 1
25,15 -> 16 : 4
25,15 -> 5 : 4
25,15 -> 14 : 1
63,73 -> 63 : 1
63,73 -> 83 : 1
63,73 -> 74 : 1
31,30 -> 31 : 2
31,30 -> 39 : 1
31,30 -> 20 : 2
21,11 -> 12 : 2
21,11 -> 10 : 2
21,11 -> 21 : 1
9,0 -> 9 : 3
9,0 -> 90 : 2
9,0 -> 1 : 3
9,0 -> 10 : 1
19,9 -> 99 : 2
67,68 -> 58 : 3
67,68 -> 67 : 2
67,68 -> 78 : 4
67,68 -> 69 : 2
18,8 -> 9 : 2
18,8 -> 7 : 2
18,8 -> 18 : 2
30,40 -> 50 : 1
30,40 -> 30 : 2
17,7 -> 8 : 1
17,7 -> 97 : 2
17,7 -> 17 : 1
6,7 -> 8 : 1
6,7 -> 6 : 2
6,7 -> 17 : 1
71,81 -> 82 : 4
71,81 -> 80 : 3
71,81 -> 71 : 2
71,81 -> 91 : 1
27,17 -> 27 : 1
27,17 -> 18 : 1
27,17 -> 16 : 1
7,17 -> 27 : 3
7,17 -> 16 : 1
11,1 -> 11 : 4
11,1 -> 2 : 1
11,1 -> 0 : 2
12,22 -> 21 : 3
12,22 -> 23 : 1
12,22 -> 32 : 2
12,22 -> 12 : 3
65,75 -> 85 : 4
65,75 -> 65 : 2
65,75 -> 76 : 1
76,75 -> 74 : 3
76,75 -> 76 : 3
76,75 -> 65 : 3
76,75 -> 85 : 1
22,32 -> 31 : 2
22,32 -> 33 : 2
22,32 -> 42 : 1
76,77 -> 87 : 4
76,77 -> 67 : 1
76,77 -> 78 : 1
76,77 -> 76 : 1
77,87 -> 77 : 5
77,87 -> 88 : 2
77,87 -> 86 : 6
77,87 -> 97 : 1
88,78 -> 88 : 1
88,78 -> 68 : 1
77,78 -> 68 : 1
77,78 -> 79 : 2
77,78 -> 88 : 1
88,89 -> 88 : 1
88,89 -> 99 : 1
15,14 -> 15 : 1
15,14 -> 4 : 1
79,89 -> 79 : 1
***** Observation. ORDER 3 *****
35,36,46 -> 56 : 2
35,36,46 -> 36 : 1
46,36,46 -> 45 : 2
45,46,36 -> 26 : 2
45,46,36 -> 35 : 1
56,46,36 -> 46 : 2
56,46,36 -> 37 : 1
67,66,56 -> 57 : 1
56,66,56 -> 46 : 3
56,66,56 -> 55 : 2
66,56,57 -> 56 : 2
57,56,57 -> 58 : 2
57,56,57 -> 67 : 1
57,56,57 -> 56 : 1
24,23,33 -> 23 : 1
33,23,33 -> 23 : 2
33,23,33 -> 32 : 1
23,33,23 -> 33 : 2
23,33,23 -> 22 : 1
83,93,3 -> 93 : 1
83,93,3 -> 2 : 1
83,93,3 -> 4 : 1
4,3,93 -> 83 : 1
4,3,93 -> 3 : 2
93,3,93 -> 83 : 2
93,3,93 -> 3 : 1
93,83,93 -> 3 : 1
93,83,93 -> 92 : 1
93,83,93 -> 83 : 1
73,83,93 -> 3 : 1
73,83,93 -> 83 : 1
3,93,83 -> 93 : 3
3,93,83 -> 73 : 1
3,2,12 -> 2 : 1
3,2,12 -> 11 : 1
12,2,12 -> 11 : 1
48,58,48 -> 58 : 2
48,58,48 -> 49 : 1
59,58,48 -> 49 : 1
59,58,48 -> 58 : 2
59,58,48 -> 47 : 1
47,48,58 -> 48 : 1
47,48,58 -> 59 : 2
58,48,58 -> 48 : 2
58,48,58 -> 59 : 2
58,48,58 -> 68 : 1
58,48,58 -> 57 : 1
34,44,54 -> 55 : 1
34,44,54 -> 53 : 1
43,44,54 -> 53 : 1
54,55,54 -> 55 : 4
54,55,54 -> 53 : 2
54,55,54 -> 44 : 1
44,54,55 -> 54 : 2
55,54,55 -> 54 : 3
55,54,55 -> 65 : 2
55,54,55 -> 45 : 2
53,54,55 -> 54 : 1
53,54,55 -> 65 : 2
86,87,86 -> 87 : 2
86,87,86 -> 96 : 1
86,87,86 -> 76 : 1
86,87,86 -> 85 : 1
96,86,87 -> 86 : 3
87,86,87 -> 86 : 2
87,86,87 -> 97 : 2
41,42,52 -> 53 : 2
43,42,52 -> 42 : 1
43,42,52 -> 62 : 1
51,52,62 -> 72 : 1
51,52,62 -> 52 : 1
62,52,62 -> 61 : 1
62,52,62 -> 72 : 1
62,72,71 -> 72 : 3
71,72,71 -> 81 : 1
71,72,71 -> 61 : 2
71,72,71 -> 72 : 2
44,54,53 -> 43 : 2
44,54,53 -> 54 : 1
55,54,53 -> 43 : 2
55,54,53 -> 63 : 1
55,54,53 -> 54 : 1
55,54,53 -> 52 : 1
53,43,53 -> 54 : 2
53,43,53 -> 63 : 1
52,53,43 -> 42 : 1
52,53,43 -> 33 : 1
54,53,43 -> 53 : 2
54,53,43 -> 33 : 1
0,90,0 -> 90 : 2
0,90,0 -> 9 : 1
0,90,0 -> 10 : 1
1,0,90 -> 0 : 2
1,0,90 -> 80 : 1
90,0,90 -> 0 : 2
90,0,90 -> 80 : 1
0,9,99 -> 9 : 2
99,9,99 -> 89 : 1
9,99,89 -> 99 : 1
89,99,89 -> 79 : 1
98,99,89 -> 79 : 1
99,89,79 -> 78 : 1
99,89,79 -> 70 : 1
79,70,79 -> 70 : 3
89,79,70 -> 79 : 1
70,79,70 -> 79 : 2
70,79,70 -> 80 : 2
59,58,59 -> 69 : 1
59,58,59 -> 58 : 1
59,58,59 -> 49 : 2
68,58,59 -> 50 : 2
68,58,59 -> 49 : 1
42,32,33 -> 32 : 2
33,32,33 -> 43 : 1
33,32,33 -> 34 : 1
33,32,33 -> 32 : 1
33,32,33 -> 23 : 1
44,34,24 -> 25 : 1
35,34,24 -> 34 : 2
55,45,35 -> 36 : 1
55,45,35 -> 34 : 2
55,45,35 -> 25 : 1
55,45,35 -> 45 : 3
25,35,36 -> 46 : 1
25,35,36 -> 26 : 1
45,35,36 -> 26 : 1
45,35,36 -> 46 : 1
45,35,36 -> 37 : 1
26,36,46 -> 56 : 1
36,46,56 -> 55 : 1
36,46,56 -> 66 : 1
36,46,56 -> 57 : 1
46,56,55 -> 45 : 1
66,56,55 -> 45 : 2
66,56,55 -> 54 : 1
66,56,55 -> 65 : 1
56,55,45 -> 35 : 2
46,47,46 -> 47 : 1
46,47,46 -> 56 : 1
46,47,46 -> 45 : 2
45,46,47 -> 46 : 1
45,46,47 -> 57 : 1
47,46,47 -> 46 : 1
47,46,47 -> 57 : 1
47,46,47 -> 48 : 1
24,34,35 -> 45 : 1
44,34,35 -> 36 : 1
36,35,34 -> 44 : 1
45,35,34 -> 24 : 1
45,35,34 -> 44 : 1
45,35,34 -> 35 : 2
34,44,34 -> 33 : 2
34,44,34 -> 35 : 1
45,44,34 -> 35 : 1
44,45,44 -> 45 : 2
44,45,44 -> 54 : 1
55,45,44 -> 45 : 1
35,45,44 -> 34 : 1
41,31,21 -> 31 : 1
21,31,21 -> 22 : 1
21,31,21 -> 11 : 2
10,19,29 -> 19 : 1
10,19,29 -> 28 : 1
29,19,29 -> 28 : 1
29,19,29 -> 39 : 1
18,19,29 -> 28 : 1
18,19,29 -> 19 : 1
19,29,28 -> 18 : 1
19,29,28 -> 38 : 1
18,17,18 -> 17 : 1
16,17,18 -> 19 : 1
28,18,17 -> 18 : 1
17,18,17 -> 7 : 1
30,39,49 -> 39 : 2
30,39,49 -> 40 : 1
49,39,49 -> 40 : 2
49,39,49 -> 39 : 1
49,39,49 -> 48 : 2
49,39,49 -> 59 : 1
43,44,45 -> 44 : 1
43,44,45 -> 55 : 1
43,44,45 -> 46 : 1
43,44,45 -> 35 : 1
45,44,45 -> 46 : 1
45,44,45 -> 35 : 1
45,44,45 -> 55 : 1
45,44,45 -> 44 : 1
50,59,50 -> 51 : 1
50,59,50 -> 60 : 1
50,59,50 -> 59 : 1
50,59,50 -> 40 : 1
58,59,50 -> 40 : 1
58,59,50 -> 60 : 1
59,50,40 -> 30 : 1
59,50,40 -> 41 : 1
59,50,40 -> 49 : 2
50,51,61 -> 51 : 2
61,51,61 -> 60 : 1
61,60,69 -> 60 : 2
61,60,69 -> 59 : 1
69,60,69 -> 79 : 1
69,60,69 -> 60 : 1
60,69,79 -> 78 : 1
79,69,79 -> 70 : 1
79,69,79 -> 69 : 1
70,80,81 -> 91 : 2
89,80,81 -> 91 : 1
80,81,91 -> 92 : 3
80,81,91 -> 1 : 2
80,81,91 -> 81 : 2
92,82,83 -> 93 : 2
83,82,83 -> 93 : 1
83,82,83 -> 84 : 1
83,93,83 -> 82 : 3
83,93,83 -> 84 : 3
82,83,93 -> 83 : 3
67,66,76 -> 66 : 1
67,66,76 -> 75 : 1
76,66,76 -> 66 : 2
56,66,76 -> 86 : 1
56,66,76 -> 66 : 1
86,76,66 -> 67 : 1
66,76,66 -> 76 : 2
66,76,66 -> 67 : 1
66,76,66 -> 56 : 1
66,76,66 -> 65 : 1
66,67,66 -> 76 : 1
66,67,66 -> 56 : 1
76,66,67 -> 66 : 2
9,19,29 -> 19 : 1
27,26,36 -> 46 : 1
27,26,36 -> 26 : 1
16,26,36 -> 37 : 1
27,26,16 -> 15 : 1
36,26,16 -> 26 : 1
15,16,17 -> 7 : 2
15,16,17 -> 16 : 1
17,27,28 -> 27 : 1
17,27,28 -> 18 : 1
26,27,28 -> 38 : 1
36,37,36 -> 26 : 1
38,37,36 -> 35 : 1
27,28,38 -> 37 : 1
18,28,38 -> 48 : 1
57,47,48 -> 49 : 1
57,47,48 -> 47 : 1
37,47,48 -> 49 : 1
38,48,49 -> 59 : 1
38,48,49 -> 39 : 3
47,48,49 -> 48 : 1
47,48,49 -> 40 : 1
47,48,49 -> 59 : 1
42,41,51 -> 41 : 1
51,41,51 -> 50 : 2
33,43,42 -> 52 : 1
42,43,42 -> 41 : 1
42,43,42 -> 52 : 1
40,30,20 -> 30 : 1
40,30,20 -> 10 : 2
40,30,20 -> 21 : 1
20,30,20 -> 29 : 1
20,30,20 -> 21 : 1
0,1,2 -> 12 : 2
91,1,2 -> 3 : 3
91,1,2 -> 1 : 1
1,2,12 -> 2 : 1
1,2,12 -> 11 : 1
1,2,12 -> 13 : 1
11,21,22 -> 21 : 1
22,21,22 -> 12 : 1
22,21,22 -> 21 : 1
94,95,85 -> 95 : 2
85,95,85 -> 86 : 1
85,95,85 -> 95 : 1
85,95,85 -> 75 : 1
85,95,85 -> 84 : 1
85,86,87 -> 77 : 1
85,86,87 -> 86 : 1
76,86,87 -> 77 : 1
76,86,87 -> 97 : 1
86,87,77 -> 76 : 2
86,87,77 -> 67 : 1
86,87,77 -> 87 : 1
67,57,67 -> 57 : 2
67,57,67 -> 77 : 2
77,67,57 -> 67 : 2
57,67,57 -> 67 : 2
57,67,57 -> 58 : 1
64,74,75 -> 74 : 1
73,74,75 -> 85 : 1
44,34,33 -> 32 : 1
44,34,33 -> 23 : 1
44,34,33 -> 43 : 1
24,34,33 -> 43 : 2
24,34,33 -> 23 : 1
53,52,51 -> 50 : 1
62,52,51 -> 41 : 1
62,52,51 -> 52 : 1
49,59,50 -> 59 : 1
49,59,50 -> 60 : 1
71,72,62 -> 72 : 1
71,72,62 -> 61 : 1
62,72,62 -> 63 : 1
62,72,62 -> 52 : 1
81,91,90 -> 91 : 1
1,91,90 -> 99 : 1
41,51,61 -> 71 : 2
41,51,61 -> 51 : 1
41,51,61 -> 60 : 1
52,51,61 -> 71 : 1
61,71,61 -> 60 : 2
61,71,61 -> 62 : 1
61,71,61 -> 51 : 1
61,71,61 -> 71 : 1
72,71,61 -> 60 : 1
72,71,61 -> 62 : 1
72,71,61 -> 51 : 1
61,62,61 -> 62 : 1
61,62,61 -> 60 : 2
52,62,61 -> 51 : 1
51,61,71 -> 61 : 3
51,61,71 -> 72 : 1
82,72,71 -> 61 : 1
82,72,71 -> 72 : 2
82,72,71 -> 81 : 1
71,61,60 -> 61 : 2
71,61,60 -> 69 : 1
60,61,62 -> 61 : 2
60,61,62 -> 72 : 1
62,61,62 -> 63 : 1
62,61,62 -> 72 : 1
71,61,62 -> 52 : 1
71,61,62 -> 72 : 2
64,74,84 -> 74 : 1
